sku,style,category,size,asin
SET389-KR-NP-S,SET389,Set,S,B09KXVBD7Z
JNE3781-KR-XXXL,JNE3781,kurta,3XL,B09K3WFS32
JNE3371-KR-XL,JNE3371,kurta,XL,B07WV4JV4D
J0341-DR-L,J0341,Western Dress,L,B099NRCT7B
JNE3671-TU-XXXL,JNE3671,Top,3XL,B098714BZP
SET264-KR-NP-XL,SET264,Set,XL,B08YN7XDSG
J0095-SET-L,J0095,Set,L,B08CMHNWBN
JNE3405-KR-S,JNE3405,kurta,S,B081WX4G4Q
SET200-KR-NP-A-XXXL,SET200,Set,3XL,B08L91ZZXN
JNE3461-KR-XXL,JNE3461,kurta,XXL,B08B3XF5MH
JNE3160-KR-G-S,JNE3160,kurta,S,B07K3YQLF1
JNE3500-KR-XS,JNE3500,kurta,XS,B098117DJ3
JNE3405-KR-XS,JNE3405,kurta,XS,B081XCMYXJ
SET182-KR-DH-XS,SET182,Set,XS,B085HS947T
J0351-SET-L,J0351,Set,L,B09CSSQY4F
PJNE3368-KR-6XL,PJNE3368,kurta,6XL,B09PY99SVJ
JNE3721-KR-XXL,JNE3721,kurta,XXL,B099FCT65D
JNE3405-KR-XL,JNE3405,kurta,XL,B081WT6GG7
JNE3697-KR-XXL,JNE3697,kurta,XXL,B098133PV5
SET254-KR-NP-XS,SET254,Set,XS,B0983DDPL6
JNE3795-KR-XXXL,JNE3795,kurta,3XL,B09HMXJVFS
SET345-KR-NP-M,SET345,Set,M,B09KXV4BN8
JNE3373-KR-L,JNE3373,kurta,L,B082W7GVH7
SET291-KR-PP-M,SET291,Set,M,B099NK55YG
MEN5002-KR-L,MEN5002,kurta,L,B08YYYDN9R
NW030-TP-PJ-XS,NW030,Set,XS,B09G2RQSRZ
JNE3415-KR-XXXL,JNE3415,kurta,3XL,B082W8JXJ9
PJNE2199-KR-N-4XL,PJNE2199,kurta,4XL,B09LD2W9XL
JNE3567-KR-M,JNE3567,kurta,M,B08KRXV1QR
JNE2132-KR-398-XXXL,JNE2132,kurta,3XL,B07JG3CND8
J0341-DR-S,J0341,Western Dress,S,B099NR7612
MEN5009-KR-XL,MEN5009,kurta,XL,B08YYTCPYX
J0011-LCD-M,J0011,Set,M,B08B3YNJG5
JNE3766-KR-M,JNE3766,kurta,M,B09K3XR43V
JNE3373-KR-XL,JNE3373,kurta,XL,B082W8BXW1
MEN5001-KR-XL,MEN5001,kurta,XL,B08YYRH2Q6
SET345-KR-NP-L,SET345,Set,L,B09KXT4VG7
JNE3787-KR-S,JNE3787,kurta,S,B09RKBXM5B
JNE3543-KR-S,JNE3543,kurta,S,B08HHJP41L
JNE3405-KR-L,JNE3405,kurta,L,B081WSCKPQ
J0211-DR-XXL,J0211,Ethnic Dress,XXL,B09831VWD9
J0401-DR-XXXL,J0401,Western Dress,3XL,B09SDXZBGX
JNE2153-KR-278-A-M,JNE2153,kurta,M,B0794YR85H
SET360-KR-NP-M,SET360,Set,M,B09QJM1D7F
SET268-KR-NP-L,SET268,Set,L,B08XQ8MCKP
SET183-KR-DH-S,SET183,Set,S,B08B3Z38TJ
J0230-SKD-L,J0230,Set,L,B08XNDL1DL
JNE3744-TU-S,JNE3744,Top,S,B0986ZHR9D
JNE3510-KR-S,JNE3510,kurta,S,B08WPTJBBD
JNE3405-KR-M,JNE3405,kurta,M,B081WVMMCY
J0186-SET-S,J0186,Set,S,B091Z81MLX
J0003-SET-M,J0003,Set,M,B0894XH3LN
SET282-KR-PP-M,SET282,Set,M,B09CTCDDQ4
JNE1407-BLACK-KR-UDF18-XL,JNE1407,kurta,XL,B01M4IAS51
J0301-TP-L,J0301,Top,L,B099S6795L
JNE3869-DR-S,JNE3869,Western Dress,S,B09RK67Y51
SET324-KR-NP-XS,SET324,Set,XS,B09NQ4DD29
SET279-LC-S,SET279,Set,S,B09CT6L67S
JNE2014-KR-178-XXL,JNE2014,kurta,XXL,B077MF72BK
NW005-ST-PJ-XL,NW005,Set,XL,B0922WJ27J
JNE2270-KR-487-A-M,JNE2270,kurta,M,B07H7FZD32
JNE3579-KR-M,JNE3579,kurta,M,B08QGK2BS2
SET347-KR-NP-XS,SET347,Set,XS,B09RKFBMYD
SET264-KR-NP-M,SET264,Set,M,B08YN44FZJ
JNE3373-KR-XXL,JNE3373,kurta,XXL,B082W8RWN1
SET333-KR-DPT-XXL,SET333,Set,XXL,B09RKDZ461
JNE3645-TP-N-L,JNE3645,Top,L,B08ZHNGS54
SET233-KR-PP-L,SET233,Set,L,B08MXF6MZF
J0381-SKD-XXXL,J0381,Set,3XL,B09M6VGNX8
JNE3068-KR-A-XL,JNE3068,kurta,XL,B07H7F97S4
JNE3718-KR-M,JNE3718,kurta,M,B099FB63Q6
SET386-KR-NP-S,SET386,Set,S,B09K3YFPSS
JNE3745-KR-XXL,JNE3745,kurta,XXL,B09K3WDYB6
JNE3467-KR-XL,JNE3467,kurta,XL,B08CDQKS84
JNE3721-KR-L,JNE3721,kurta,L,B099FBM4FZ
JNE3405-KR-XXL,JNE3405,kurta,XXL,B081WSL2JS
SET295-KR-NP-XXXL,SET295,Set,3XL,B09PN3GVMZ
JNE3861-DR-XL,JNE3861,Western Dress,XL,B09SDZ14KR
SET288-KR-NP-XXXL,SET288,Set,3XL,B09M6STTBC
SET394-KR-NP-XXXL,SET394,Set,3XL,B09TH6R8K4
SET397-KR-NP-XXXL,SET397,Set,3XL,B09RKDPH6J
MEN5002-KR-XXL,MEN5002,kurta,XXL,B08YZ1HZ7B
SET377-KR-NP-M,SET377,Set,M,B09TZV23QS
JNE3510-KR-M,JNE3510,kurta,M,B08WPR5MCB
BTM038-PP-XXXL,BTM038,Bottom,3XL,B08KR9JYNQ
J0343-DR-M,J0343,Western Dress,M,B0982ZJ666
J0341-DR-XL,J0341,Western Dress,XL,B099NQJZPQ
J0295-DR-XXL,J0295,Western Dress,XXL,B099NSGTJ9
JNE3560-KR-M,JNE3560,kurta,M,B08PCVMF6R
J0333-DR-XXXL,J0333,Western Dress,3XL,B0983121HP
SET389-KR-NP-M,SET389,Set,M,B09KXTTVB5
JNE3801-KR-XXXL,JNE3801,kurta,3XL,B09SDYSR1F
SET098-KR-PP-M,SET098,Set,M,B07X3K4L82
MEN5013-KR-L,MEN5013,kurta,L,B08YYR9G96
J0003-SET-L,J0003,Set,L,B0894Y4PNG
JNE3718-KR-XXXL,JNE3718,kurta,3XL,B099NJ1WVX
SET347-KR-NP-S,SET347,Set,S,B09RKDJ9SQ
JNE3391-KR-XXL,JNE3391,kurta,XXL,B081WYHTF2
SET277-KR-NP-XXL,SET277,Set,XXL,B0983FZLXC
J0293-DR-S,J0293,Western Dress,S,B099NQ1SKZ
SET154-KR-NP-XL,SET154,Set,XL,B082PXMCZ4
JNE3439-KR-XL,JNE3439,kurta,XL,B081X4KQ14
SET291-KR-PP-XL,SET291,Set,XL,B099NJV9X7
SET293-KR-NP-M,SET293,Set,M,B09K3LJWBB
JNE3648-TP-N-M,JNE3648,Top,M,B08ZH9GDTY
