sku,style,category,size,asin,product_name
SET389-KR-NP-S,SET389,Set,S,B09KXVBD7Z,Designer Set
JNE3781-KR-XXXL,JNE3781,kurta,3XL,B09K3WFS32,Designer Kurta
JNE3371-KR-XL,JNE3371,kurta,XL,B07WV4JV4D,Stylish Kurta
J0341-DR-L,J0341,Western Dress,L,B099NRCT7B,Casual Dress
JNE3671-TU-XXXL,JNE3671,Top,3XL,B098714BZP,Summer Top
SET264-KR-NP-XL,SET264,Set,XL,B08YN7XDSG,Designer Set
J0095-SET-L,J0095,Set,L,B08CMHNWBN,Formal Set
JNE3405-KR-S,JNE3405,kurta,S,B081WX4G4Q,Stylish Kurta
SET200-KR-NP-A-XXXL,SET200,Set,3XL,B08L91ZZXN,Casual Set
JNE3461-KR-XXL,JNE3461,kurta,XXL,B08B3XF5MH,Casual Kurta
JNE3160-KR-G-S,JNE3160,kurta,S,B07K3YQLF1,Designer Kurta
JNE3500-KR-XS,JNE3500,kurta,XS,B098117DJ3,Casual Kurta
JNE3405-KR-XS,JNE3405,kurta,XS,B081XCMYXJ,Stylish Kurta
SET182-KR-DH-XS,SET182,Set,XS,B085HS947T,Elegant Set
J0351-SET-L,J0351,Set,L,B09CSSQY4F,Elegant Set
PJNE3368-KR-6XL,PJNE3368,kurta,6XL,B09PY99SVJ,Cotton Kurta
JNE3721-KR-XXL,JNE3721,kurta,XXL,B099FCT65D,Cotton Kurta
JNE3405-KR-XL,JNE3405,kurta,XL,B081WT6GG7,Casual Kurta
JNE3697-KR-XXL,JNE3697,kurta,XXL,B098133PV5,Cotton Kurta
SET254-KR-NP-XS,SET254,Set,XS,B0983DDPL6,Formal Set
JNE3795-KR-XXXL,JNE3795,kurta,3XL,B09HMXJVFS,Cotton Kurta
SET345-KR-NP-M,SET345,Set,M,B09KXV4BN8,Elegant Set
JNE3373-KR-L,JNE3373,kurta,L,B082W7GVH7,Stylish Kurta
SET291-KR-PP-M,SET291,Set,M,B099NK55YG,Formal Set
MEN5002-KR-L,MEN5002,kurta,L,B08YYYDN9R,Cotton Kurta
NW030-TP-PJ-XS,NW030,Set,XS,B09G2RQSRZ,Formal Set
JNE3415-KR-XXXL,JNE3415,kurta,3XL,B082W8JXJ9,Casual Kurta
PJNE2199-KR-N-4XL,PJNE2199,kurta,4XL,B09LD2W9XL,Casual Kurta
JNE3567-KR-M,JNE3567,kurta,M,B08KRXV1QR,Designer Kurta
JNE2132-KR-398-XXXL,JNE2132,kurta,3XL,B07JG3CND8,Cotton Kurta
J0341-DR-S,J0341,Western Dress,S,B099NR7612,Casual Dress
MEN5009-KR-XL,MEN5009,kurta,XL,B08YYTCPYX,Casual Kurta
J0011-LCD-M,J0011,Set,M,B08B3YNJG5,Designer Set
JNE3766-KR-M,JNE3766,kurta,M,B09K3XR43V,Cotton Kurta
JNE3373-KR-XL,JNE3373,kurta,XL,B082W8BXW1,Stylish Kurta
MEN5001-KR-XL,MEN5001,kurta,XL,B08YYRH2Q6,Cotton Kurta
SET345-KR-NP-L,SET345,Set,L,B09KXT4VG7,Casual Set
JNE3787-KR-S,JNE3787,kurta,S,B09RKBXM5B,Casual Kurta
JNE3543-KR-S,JNE3543,kurta,S,B08HHJP41L,Cotton Kurta
JNE3405-KR-L,JNE3405,kurta,L,B081WSCKPQ,Designer Kurta
J0211-DR-XXL,J0211,Ethnic Dress,XXL,B09831VWD9,Festival Dress
J0401-DR-XXXL,J0401,Western Dress,3XL,B09SDXZBGX,Summer Dress
JNE2153-KR-278-A-M,JNE2153,kurta,M,B0794YR85H,Stylish Kurta
SET360-KR-NP-M,SET360,Set,M,B09QJM1D7F,Casual Set
SET268-KR-NP-L,SET268,Set,L,B08XQ8MCKP,Elegant Set
SET183-KR-DH-S,SET183,Set,S,B08B3Z38TJ,Formal Set
J0230-SKD-L,J0230,Set,L,B08XNDL1DL,Designer Set
JNE3744-TU-S,JNE3744,Top,S,B0986ZHR9D,Casual Top
JNE3510-KR-S,JNE3510,kurta,S,B08WPTJBBD,Designer Kurta
JNE3405-KR-M,JNE3405,kurta,M,B081WVMMCY,Designer Kurta
J0186-SET-S,J0186,Set,S,B091Z81MLX,Formal Set
J0003-SET-M,J0003,Set,M,B0894XH3LN,Elegant Set
SET282-KR-PP-M,SET282,Set,M,B09CTCDDQ4,Designer Set
JNE1407-BLACK-KR-UDF18-XL,JNE1407,kurta,XL,B01M4IAS51,Stylish Kurta
J0301-TP-L,J0301,Top,L,B099S6795L,Summer Top
JNE3869-DR-S,JNE3869,Western Dress,S,B09RK67Y51,Casual Dress
SET324-KR-NP-XS,SET324,Set,XS,B09NQ4DD29,Formal Set
SET279-LC-S,SET279,Set,S,B09CT6L67S,Elegant Set
JNE2014-KR-178-XXL,JNE2014,kurta,XXL,B077MF72BK,Designer Kurta
NW005-ST-PJ-XL,NW005,Set,XL,B0922WJ27J,Elegant Set
JNE2270-KR-487-A-M,JNE2270,kurta,M,B07H7FZD32,Stylish Kurta
JNE3579-KR-M,JNE3579,kurta,M,B08QGK2BS2,Stylish Kurta
SET347-KR-NP-XS,SET347,Set,XS,B09RKFBMYD,Designer Set
SET264-KR-NP-M,SET264,Set,M,B08YN44FZJ,Casual Set
JNE3373-KR-XXL,JNE3373,kurta,XXL,B082W8RWN1,Cotton Kurta
SET333-KR-DPT-XXL,SET333,Set,XXL,B09RKDZ461,Formal Set
JNE3645-TP-N-L,JNE3645,Top,L,B08ZHNGS54,Formal Top
SET233-KR-PP-L,SET233,Set,L,B08MXF6MZF,Designer Set
J0381-SKD-XXXL,J0381,Set,3XL,B09M6VGNX8,Elegant Set
JNE3068-KR-A-XL,JNE3068,kurta,XL,B07H7F97S4,Stylish Kurta
JNE3718-KR-M,JNE3718,kurta,M,B099FB63Q6,Casual Kurta
SET386-KR-NP-S,SET386,Set,S,B09K3YFPSS,Formal Set
JNE3745-KR-XXL,JNE3745,kurta,XXL,B09K3WDYB6,Casual Kurta
JNE3467-KR-XL,JNE3467,kurta,XL,B08CDQKS84,Casual Kurta
JNE3721-KR-L,JNE3721,kurta,L,B099FBM4FZ,Casual Kurta
JNE3405-KR-XXL,JNE3405,kurta,XXL,B081WSL2JS,Stylish Kurta
SET295-KR-NP-XXXL,SET295,Set,3XL,B09PN3GVMZ,Designer Set
JNE3861-DR-XL,JNE3861,Western Dress,XL,B09SDZ14KR,Casual Dress
SET288-KR-NP-XXXL,SET288,Set,3XL,B09M6STTBC,Designer Set
SET394-KR-NP-XXXL,SET394,Set,3XL,B09TH6R8K4,Designer Set
SET397-KR-NP-XXXL,SET397,Set,3XL,B09RKDPH6J,Designer Set
MEN5002-KR-XXL,MEN5002,kurta,XXL,B08YZ1HZ7B,Cotton Kurta
SET377-KR-NP-M,SET377,Set,M,B09TZV23QS,Elegant Set
JNE3510-KR-M,JNE3510,kurta,M,B08WPR5MCB,Designer Kurta
BTM038-PP-XXXL,BTM038,Bottom,3XL,B08KR9JYNQ,Jeans
J0343-DR-M,J0343,Western Dress,M,B0982ZJ666,Casual Dress
J0341-DR-XL,J0341,Western Dress,XL,B099NQJZPQ,Summer Dress
J0295-DR-XXL,J0295,Western Dress,XXL,B099NSGTJ9,Casual Dress
JNE3560-KR-M,JNE3560,kurta,M,B08PCVMF6R,Cotton Kurta
J0333-DR-XXXL,J0333,Western Dress,3XL,B0983121HP,Casual Dress
SET389-KR-NP-M,SET389,Set,M,B09KXTTVB5,Casual Set
JNE3801-KR-XXXL,JNE3801,kurta,3XL,B09SDYSR1F,Casual Kurta
SET098-KR-PP-M,SET098,Set,M,B07X3K4L82,Casual Set
MEN5013-KR-L,MEN5013,kurta,L,B08YYR9G96,Designer Kurta
J0003-SET-L,J0003,Set,L,B0894Y4PNG,Designer Set
JNE3718-KR-XXXL,JNE3718,kurta,3XL,B099NJ1WVX,Stylish Kurta
SET347-KR-NP-S,SET347,Set,S,B09RKDJ9SQ,Formal Set
JNE3391-KR-XXL,JNE3391,kurta,XXL,B081WYHTF2,Cotton Kurta
SET277-KR-NP-XXL,SET277,Set,XXL,B0983FZLXC,Elegant Set
J0293-DR-S,J0293,Western Dress,S,B099NQ1SKZ,Casual Dress
SET154-KR-NP-XL,SET154,Set,XL,B082PXMCZ4,Elegant Set
JNE3439-KR-XL,JNE3439,kurta,XL,B081X4KQ14,Designer Kurta
SET291-KR-PP-XL,SET291,Set,XL,B099NJV9X7,Elegant Set
SET293-KR-NP-M,SET293,Set,M,B09K3LJWBB,Elegant Set
JNE3648-TP-N-M,JNE3648,Top,M,B08ZH9GDTY,Formal Top
JNE3334-KR-M,JNE3334,kurta,M,B07S8WG31H,Stylish Kurta
SET331-KR-NP-XS,SET331,Set,XS,B09NQ54RRT,Formal Set
SET265-KR-NP-S,SET265,Set,S,B0983D6TGS,Designer Set
