sku,style_id,catalog,category,weight,tp1,tp2,mrp_old,final_mrp_old,ajio_mrp,amazon_mrp,amazon_fba_mrp,flipkart_mrp,limeroad_mrp,myntra_mrp,paytm_mrp,snapdeal_mrp,style,size,asin
Os206_3141_S,Os206_3141,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os206_3141_M,Os206_3141,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os206_3141_L,Os206_3141,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os206_3141_XL,Os206_3141,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os206_3141_2XL,Os206_3141,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os206_3141_3XL,Os206_3141,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os223_3142_S,Os223_3142,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os223_3142_M,Os223_3142,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os223_3142_L,Os223_3142,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os223_3142_XL,Os223_3142,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os223_3142_2XL,Os223_3142,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os223_3142_3XL,Os223_3142,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os212_3143_S,Os212_3143,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os212_3143_M,Os212_3143,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os212_3143_L,Os212_3143,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os212_3143_XL,Os212_3143,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os212_3143_2XL,Os212_3143,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os212_3143_3XL,Os212_3143,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os214_3144_S,Os214_3144,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os214_3144_M,Os214_3144,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os214_3144_L,Os214_3144,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os214_3144_XL,Os214_3144,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os214_3144_2XL,Os214_3144,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os214_3144_3XL,Os214_3144,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os207_3145_S,Os207_3145,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os207_3145_M,Os207_3145,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os207_3145_L,Os207_3145,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os207_3145_XL,Os207_3145,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os207_3145_2XL,Os207_3145,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os207_3145_3XL,Os207_3145,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os202_3146_S,Os202_3146,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os202_3146_M,Os202_3146,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os202_3146_L,Os202_3146,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os202_3146_XL,Os202_3146,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
Os202_3146_2XL,Os202_3146,Moments,Kurta,0.3,538.0,435.78,2178.0,2295.0,2295,2295,2295,2295,2295,2295,2295,2295,,,
