sku_code,design_no,stock,category,size,color,sku,style,asin
AN201-RED-L,AN201,5.0,AN : LEGGINGS,L,Red,,,
AN201-RED-M,AN201,5.0,AN : LEGGINGS,M,Red,,,
AN201-RED-S,AN201,3.0,AN : LEGGINGS,S,Red,,,
AN201-RED-XL,AN201,6.0,AN : LEGGINGS,XL,Red,,,
AN201-RED-XXL,AN201,3.0,AN : LEGGINGS,XXL,Red,,,
AN202-ORANGE-L,AN202,11.0,AN : LEGGINGS,L,Orange,,,
AN202-ORANGE-M,AN202,3.0,AN : LEGGINGS,M,Orange,,,
AN202-ORANGE-S,AN202,16.0,AN : LEGGINGS,S,Orange,,,
AN202-ORANGE-XL,AN202,8.0,AN : LEGGINGS,XL,Orange,,,
AN202-ORANGE-XXL,AN202,14.0,AN : LEGGINGS,XXL,Orange,,,
AN203-MAROON-L,AN203,1.0,AN : LEGGINGS,L,Maroon,,,
AN203-MAROON-M,AN203,2.0,AN : LEGGINGS,M,Maroon,,,
AN203-MAROON-S,AN203,2.0,AN : LEGGINGS,S,Maroon,,,
AN203-MAROON-XL,AN203,2.0,AN : LEGGINGS,XL,Maroon,,,
AN203-MAROON-XXL,AN203,3.0,AN : LEGGINGS,XXL,Maroon,,,
AN204-PURPLE-L,AN204,10.0,AN : LEGGINGS,L,Purple,,,
AN204-PURPLE-M,AN204,4.0,AN : LEGGINGS,M,Purple,,,
AN204-PURPLE-S,AN204,6.0,AN : LEGGINGS,S,Purple,,,
AN204-PURPLE-XL,AN204,3.0,AN : LEGGINGS,XL,Purple,,,
AN204-PURPLE-XXL,AN204,5.0,AN : LEGGINGS,XXL,Purple,,,
AN205-YELLOW-L,AN205,9.0,AN : LEGGINGS,L,Yellow,,,
AN205-YELLOW-M,AN205,7.0,AN : LEGGINGS,M,Yellow,,,
AN205-YELLOW-S,AN205,6.0,AN : LEGGINGS,S,Yellow,,,
AN205-YELLOW-XL,AN205,7.0,AN : LEGGINGS,XL,Yellow,,,
AN205-YELLOW-XXL,AN205,13.0,AN : LEGGINGS,XXL,Yellow,,,
AN206-GREEN-L,AN206,10.0,AN : LEGGINGS,L,Green,,,
AN206-GREEN-M,AN206,13.0,AN : LEGGINGS,M,Green,,,
AN206-GREEN-S,AN206,13.0,AN : LEGGINGS,S,Green,,,
