ship_postal_code,orders_count,customer_segment
,28,Loyal
261203.0,6,Loyal
274401.0,2,Frequent
783301.0,4,Frequent
560014.0,6,Loyal
643004.0,2,Frequent
670661.0,15,Loyal
682039.0,7,Loyal
244301.0,1,One-time
145101.0,2,Frequent
400009.0,21,Loyal
464668.0,1,One-time
782136.0,1,One-time
396521.0,4,Frequent
804417.0,2,Frequent
400034.0,30,Loyal
700138.0,3,Frequent
492012.0,5,Frequent
583132.0,1,One-time
311001.0,36,Loyal
201009.0,194,Loyal
822114.0,2,Frequent
754294.0,1,One-time
500065.0,21,Loyal
799131.0,6,Loyal
736171.0,2,Frequent
571128.0,1,One-time
492008.0,5,Frequent
518206.0,1,One-time
517619.0,1,One-time
689626.0,2,Frequent
176040.0,3,Frequent
531163.0,17,Loyal
571440.0,4,Frequent
686579.0,4,Frequent
506004.0,9,Loyal
732206.0,2,Frequent
411048.0,143,Loyal
517132.0,2,Frequent
110083.0,4,Frequent
560061.0,228,Loyal
271604.0,2,Frequent
262402.0,1,One-time
673032.0,8,Loyal
581363.0,2,Frequent
400008.0,51,Loyal
251314.0,1,One-time
394270.0,4,Frequent
607308.0,2,Frequent
476337.0,3,Frequent
628001.0,9,Loyal
382470.0,28,Loyal
800016.0,8,Loyal
759025.0,6,Loyal
691560.0,1,One-time
846001.0,11,Loyal
641044.0,7,Loyal
735223.0,1,One-time
679328.0,1,One-time
403110.0,9,Loyal
641108.0,5,Frequent
365455.0,1,One-time
394221.0,5,Frequent
628952.0,1,One-time
323301.0,1,One-time
531031.0,2,Frequent
754114.0,1,One-time
848160.0,1,One-time
400703.0,112,Loyal
680524.0,1,One-time
700116.0,4,Frequent
263639.0,2,Frequent
283151.0,4,Frequent
175103.0,3,Frequent
394326.0,1,One-time
560084.0,102,Loyal
670334.0,2,Frequent
570017.0,47,Loyal
248870.0,1,One-time
534112.0,2,Frequent
560025.0,41,Loyal
743245.0,2,Frequent
507208.0,2,Frequent
509375.0,9,Loyal
477660.0,1,One-time
141002.0,18,Loyal
828119.0,1,One-time
403508.0,13,Loyal
509339.0,1,One-time
695608.0,2,Frequent
695585.0,2,Frequent
754028.0,2,Frequent
843328.0,3,Frequent
695040.0,2,Frequent
132117.0,3,Frequent
614206.0,10,Loyal
680027.0,4,Frequent
400026.0,43,Loyal
743428.0,1,One-time
815383.0,1,One-time
534208.0,2,Frequent
276305.0,2,Frequent
591315.0,4,Frequent
609003.0,4,Frequent
713513.0,1,One-time
413005.0,7,Loyal
600091.0,139,Loyal
801109.0,1,One-time
440023.0,21,Loyal
680586.0,6,Loyal
160022.0,38,Loyal
683587.0,5,Frequent
506101.0,13,Loyal
690101.0,4,Frequent
274508.0,1,One-time
229212.0,1,One-time
605010.0,26,Loyal
411047.0,89,Loyal
678703.0,2,Frequent
629002.0,18,Loyal
765019.0,2,Frequent
793017.0,5,Frequent
759015.0,1,One-time
636119.0,1,One-time
736159.0,6,Loyal
160063.0,2,Frequent
621005.0,1,One-time
202122.0,1,One-time
496661.0,3,Frequent
460663.0,1,One-time
673581.0,1,One-time
364310.0,1,One-time
690504.0,2,Frequent
743144.0,24,Loyal
852113.0,5,Frequent
845103.0,2,Frequent
380058.0,140,Loyal
741121.0,1,One-time
523274.0,2,Frequent
828301.0,5,Frequent
176207.0,2,Frequent
302019.0,57,Loyal
670106.0,2,Frequent
791110.0,24,Loyal
754032.0,2,Frequent
782442.0,1,One-time
621105.0,1,One-time
624001.0,11,Loyal
416115.0,22,Loyal
691502.0,2,Frequent
700133.0,1,One-time
415012.0,4,Frequent
582208.0,2,Frequent
415002.0,26,Loyal
581341.0,1,One-time
757035.0,2,Frequent
173229.0,1,One-time
144005.0,17,Loyal
700122.0,28,Loyal
636304.0,1,One-time
180005.0,28,Loyal
400099.0,41,Loyal
422214.0,4,Frequent
680013.0,2,Frequent
628203.0,1,One-time
142001.0,11,Loyal
580030.0,23,Loyal
413401.0,4,Frequent
604001.0,11,Loyal
534001.0,21,Loyal
494335.0,1,One-time
