item1,item2,item1_name,item2_name,pair_count
SET268-KR-NP-XL,SET264-KR-NP-XL,Elegant Set,Designer Set,12
SET264-KR-NP-XL,SET268-KR-NP-XL,Designer Set,Elegant Set,12
JNE3543-KR-XS,SET397-KR-NP-XS,Stylish Kurta,Formal Set,9
SET397-KR-NP-XS,JNE3543-KR-XS,Formal Set,Stylish Kurta,9
JNE3543-KR-S,SET397-KR-NP-S,Cotton Kurta,Elegant Set,8
SET397-KR-NP-S,JNE3543-KR-S,Elegant Set,Cotton Kurta,8
PJNE3291-KR-6XL,PJNE3252-KR-N-6XL,Stylish Kurta,Casual Kurta,7
PJNE3252-KR-N-6XL,PJNE3291-KR-6XL,Casual Kurta,Stylish Kurta,7
JNE3543-KR-S,JNE3787-KR-S,Cotton Kurta,Casual Kurta,7
JNE3787-KR-S,JNE3543-KR-S,Casual Kurta,Cotton Kurta,7
JNE3800-KR-S,JNE3801-KR-S,Cocktail Dress,Designer Kurta,7
JNE3801-KR-S,JNE3800-KR-S,Designer Kurta,Cocktail Dress,7
JNE3797-KR-XL,JNE3798-KR-XL,Casual Dress,Evening Dress,6
JNE3798-KR-XL,JNE3797-KR-XL,Evening Dress,Casual Dress,6
JNE3797-KR-A-M,SET324-KR-NP-M,Cocktail Dress,Designer Set,6
SET324-KR-NP-L,SET374-KR-NP-L,Designer Set,Designer Set,6
JNE3797-KR-XXL,JNE3801-KR-XXL,Summer Dress,Casual Kurta,6
JNE3797-KR-L,JNE3801-KR-L,Evening Dress,Casual Kurta,6
SET324-KR-NP-M,JNE3797-KR-A-M,Designer Set,Cocktail Dress,6
SET374-KR-NP-L,SET324-KR-NP-L,Designer Set,Designer Set,6
JNE3801-KR-XXL,JNE3797-KR-XXL,Casual Kurta,Summer Dress,6
JNE3801-KR-L,JNE3797-KR-L,Casual Kurta,Evening Dress,6
JNE3781-KR-XXXL,JNE3784-KR-XXXL,Designer Kurta,Cotton Kurta,5
PJNE3399-KR-N-4XL,PJNE2199-KR-N-4XL,Casual Kurta,Casual Kurta,5
MEN5002-KR-M,MEN5009-KR-M,Casual Kurta,Stylish Kurta,5
JNE3620-KR-XL,JNE3468-KR-XL,Cotton Kurta,Stylish Kurta,5
SET264-KR-NP-M,SET268-KR-NP-M,Casual Set,Designer Set,5
SET281-KR-PP-M,J0244-SKD-M,Formal Set,Formal Set,5
JNE3797-KR-XXXL,JNE3798-KR-XXXL,Cocktail Dress,Cocktail Dress,5
PJNE2199-KR-N-4XL,PJNE3399-KR-N-4XL,Casual Kurta,Casual Kurta,5
SET269-KR-NP-XL,SET268-KR-NP-XL,Formal Set,Elegant Set,5
JNE3800-KR-XL,JNE3797-KR-XL,Summer Dress,Casual Dress,5
JNE3784-KR-XXL,JNE3780-KR-XXL,Cotton Kurta,Casual Kurta,5
JNE3468-KR-XL,JNE3620-KR-XL,Stylish Kurta,Cotton Kurta,5
J0003-SET-S,J0003-SET-M,Formal Set,Elegant Set,5
JNE3797-KR-XL,JNE3800-KR-XL,Casual Dress,Summer Dress,5
JNE3798-KR-XXXL,JNE3797-KR-XXXL,Cocktail Dress,Cocktail Dress,5
JNE3543-KR-M,SET397-KR-NP  -M,Casual Kurta,Elegant Set,5
SET268-KR-NP-M,SET264-KR-NP-M,Designer Set,Casual Set,5
MEN5009-KR-M,MEN5002-KR-M,Stylish Kurta,Casual Kurta,5
SET397-KR-NP  -M,JNE3543-KR-M,Elegant Set,Casual Kurta,5
JNE3784-KR-XXXL,JNE3781-KR-XXXL,Cotton Kurta,Designer Kurta,5
JNE3780-KR-XXL,JNE3784-KR-XXL,Casual Kurta,Cotton Kurta,5
J0244-SKD-M,SET281-KR-PP-M,Formal Set,Formal Set,5
J0003-SET-M,J0003-SET-S,Elegant Set,Formal Set,5
SET268-KR-NP-XL,SET269-KR-NP-XL,Elegant Set,Formal Set,5
J0003-SET-XXL,J0008-SKD-XXL,Designer Set,Casual Set,4
JNE3634-KR-XXXL,JNE3468-KR-XXXL,Cotton Kurta,Designer Kurta,4
JNE3721-KR-M,JNE3703-KR-M,Cotton Kurta,Designer Kurta,4
JNE3405-KR-L,JNE3568-KR-L,Designer Kurta,Casual Kurta,4
JNE3468-KR-M,JNE3510-KR-M,Cotton Kurta,Designer Kurta,4
JNE3800-KR-L,JNE3797-KR-L,Evening Dress,Evening Dress,4
MEN5011-KR-M,MEN5009-KR-M,Stylish Kurta,Stylish Kurta,4
JNE3482-KR-XXL,JNE3487-KR-XXL,Designer Kurta,Stylish Kurta,4
SET409-KR-NP-M,SET375-KR-NP-M,Formal Set,Elegant Set,4
JNE3801-KR-XXXL,JNE3797-KR-XXXL,Casual Kurta,Cocktail Dress,4
JNE3800-KR-M,JNE3797-KR-A-M,Evening Dress,Cocktail Dress,4
JNE3703-KR-M,JNE3721-KR-M,Designer Kurta,Cotton Kurta,4
JNE3800-KR-M,JNE3797-KR-M,Evening Dress,Cocktail Dress,4
JNE3811-KR-XL,JNE3734-KR-XL,Cotton Kurta,Designer Kurta,4
NW012-TP-PJ-XXL,NW015-TP-PJ-XXL,Formal Set,Elegant Set,4
SET345-KR-NP-M,J0006-SET-M,Elegant Set,Festival Dress,4
SET345-KR-NP-M,SET324-KR-NP-M,Elegant Set,Designer Set,4
JNE3510-KR-M,JNE3468-KR-M,Designer Kurta,Cotton Kurta,4
SET345-KR-NP-M,SET331-KR-NP-M,Elegant Set,Formal Set,4
NW015-TP-PJ-XXL,NW012-TP-PJ-XXL,Elegant Set,Formal Set,4
SET324-KR-NP-M,SET331-KR-NP-M,Designer Set,Formal Set,4
SET324-KR-NP-M,SET345-KR-NP-M,Designer Set,Elegant Set,4
JNE3797-KR-XL,JNE3801-KR-XL,Casual Dress,Casual Kurta,4
JNE3619-KR-XXL,JNE3721-KR-XXL,Stylish Kurta,Cotton Kurta,4
SET345-KR-NP-XXL,SET331-KR-NP-XXL,Elegant Set,Designer Set,4
J0006-SET-M,SET345-KR-NP-M,Festival Dress,Elegant Set,4
J0119-TP-XXXL,J0118-TP-XXXL,Casual Top,Summer Top,4
JNE3801-KR-XL,JNE3797-KR-XL,Casual Kurta,Casual Dress,4
JNE3797-KR-XXL,JNE3800-KR-XXL,Summer Dress,Casual Dress,4
JNE3721-KR-XXL,JNE3619-KR-XXL,Cotton Kurta,Stylish Kurta,4
JNE3440-KR-N-XL,JNE3697-KR-XL,Designer Kurta,Casual Kurta,4
JNE3797-KR-XXXL,JNE3801-KR-XXXL,Cocktail Dress,Casual Kurta,4
JNE3797-KR-A-M,JNE3800-KR-M,Cocktail Dress,Evening Dress,4
JNE3487-KR-XXL,JNE3482-KR-XXL,Stylish Kurta,Designer Kurta,4
SET331-KR-NP-M,SET324-KR-NP-M,Formal Set,Designer Set,4
SET331-KR-NP-M,SET345-KR-NP-M,Formal Set,Elegant Set,4
JNE3798-KR-L,JNE3801-KR-L,Cocktail Dress,Casual Kurta,4
JNE3568-KR-L,JNE3405-KR-L,Casual Kurta,Designer Kurta,4
JNE3801-KR-L,JNE3798-KR-L,Casual Kurta,Cocktail Dress,4
JNE3633-KR-XXXL,JNE3634-KR-XXXL,Stylish Kurta,Cotton Kurta,4
